name,country,category,language,status,code,latencyMs,httpStatus,urlHost,urlHash,checkedAt
"IRIB","IR","World Cup 2026","Persian","fail","FAIL_TIMEOUT","","","www.irinn.ir","b23755dad0180dfe","2026-09-11T02:36:27.391Z"
"ITV","GB","World Cup 2026","English","fail","FAIL_TIMEOUT","","","www.itv.com","25ceaced141c073b","2026-09-11T02:36:20.388Z"
"ITV Sport","GB","Public Sports","English","fail","FAIL_TIMEOUT","","","www.itv.com","25ceaced141c073b","2026-09-11T02:37:04.600Z"
"ITVX","GB","World Cup 2026","English","fail","FAIL_TIMEOUT","","","www.itv.com","f4ccb7e24aac58ca","2026-09-11T02:36:20.389Z"
"Match TV","RU","World Cup 2026","Russian","fail","FAIL_TIMEOUT","","","matchtv.ru","1c007049fd4e2017","2026-09-11T02:36:43.127Z"
"MyCanal","FR","World Cup 2026","French","fail","FAIL_HTTP","26","403","www.canalplus.com","c025b639a9bd59bb","2026-09-11T02:36:20.386Z"
"Olympics Channel","GLOBAL","Public Sports","English","fail","FAIL_TIMEOUT","","","olympics.com","e939b17ff6530390","2026-09-11T02:36:52.465Z"
"Optus Sport","AU","World Cup 2026","English","fail","FAIL_TLS","","","sport.optus.com.au","2ea6c9c065849593","2026-09-11T02:36:04.910Z"
"Polsat Sport","PL","Public Sports","Polish","fail","FAIL_TIMEOUT","","","www.polsatsport.pl","1c158b41c5cca4f4","2026-09-11T02:37:24.609Z"
"RCN","CO","World Cup 2026","Spanish","fail","FAIL_HTTP","53","403","www.canalrcn.com","4f72f255ad9eb741","2026-09-11T02:36:16.161Z"
"RTM","MY","World Cup 2026","Malay","fail","FAIL_HTTP","297","403","rtmklik.rtm.gov.my","4caff5977ab3fbc4","2026-09-11T02:36:36.030Z"
"RTS","RS","World Cup 2026","Serbian","fail","FAIL_TLS","","","www.rts.rs","4c171d5536f0f254","2026-09-11T02:36:43.126Z"
"SABC","ZA","World Cup 2026","English","fail","FAIL_HTTP","303","403","www.sabcsport.com","3aa950c87a37ba5a","2026-09-11T02:36:52.465Z"
"SABC Sport","ZA","Public Sports","English","fail","FAIL_HTTP","331","403","www.sabcsport.com","3aa950c87a37ba5a","2026-09-11T02:37:23.109Z"
"Saudi Sports Company (SSC)","SA","World Cup 2026","Arabic","fail","FAIL_TLS","","","ssc.tv","f18927a9baaa9288","2026-09-11T02:36:43.127Z"
"SBA","SA","World Cup 2026","Arabic","fail","FAIL_TLS","","","www.sba.sa","b79f5777212936ee","2026-09-11T02:36:43.128Z"
"SIC Noticias Desporto","PT","Public Sports","Portuguese","fail","FAIL_HTTP","348","403","sicnoticias.pt","902b1fcb56c9d07b","2026-09-11T02:37:15.133Z"
"SNRT","MA","World Cup 2026","Arabic / French","fail","FAIL_HTTP","927","403","www.snrt.ma","247b924853f9f8bd","2026-09-11T02:36:34.395Z"
"Sony Sports Network","IN","Public Sports","English","fail","FAIL_HTTP","130","403","www.sonysportsnetwork.com","5e4cae0fded4fcac","2026-09-11T02:37:21.003Z"
"SporTV","BR","World Cup 2026","Portuguese","fail","FAIL_TIMEOUT","","","canaisglobo.globo.com","f843c9024d63b596","2026-09-11T02:36:07.014Z"
"SSC Sports","SA","Public Sports","Arabic","fail","FAIL_TLS","","","ssc.tv","f18927a9baaa9288","2026-09-11T02:37:31.610Z"
"TNT Sports","GB","Public Sports","English","fail","FAIL_HTTP","81","403","www.tntsports.co.uk","a32c76bbaeb94aac","2026-09-11T02:37:04.601Z"
"TNT Sports Argentina","AR","World Cup 2026","Spanish","fail","FAIL_HTTP","388","403","tntsports.com.ar","1efe9e2353dca85d","2026-09-11T02:36:04.907Z"
"TNT Sports Brasil","BR","Public Sports","Portuguese","fail","FAIL_HTTP","511","403","tntsports.com.br","742fe807906dbcf0","2026-09-11T02:37:21.006Z"
"TNT Sports Chile","CL","World Cup 2026","Spanish","fail","FAIL_HTTP","354","403","tntsports.cl","bac74ae17a309a94","2026-09-11T02:36:14.017Z"
"True4U","TH","World Cup 2026","Thai","fail","FAIL_HTTP","106","403","true4u.com","0e82b29cdcfa1aeb","2026-09-11T02:36:50.129Z"
"TVA Sports","CA","World Cup 2026","French","fail","FAIL_TLS","","","www.tvasports.ca","cfe2178495ea1184","2026-09-11T02:36:14.014Z"
"TVNZ Sport","NZ","Public Sports","English","fail","FAIL_HTTP","595","404","www.tvnz.co.nz","e126dfb3c77db696","2026-09-11T02:37:19.743Z"
"TVR","RO","World Cup 2026","Romanian","fail","FAIL_TIMEOUT","","","www.tvr.ro","8f75ea81365e1dc3","2026-09-11T02:36:43.126Z"
"Universo","US","World Cup 2026","Spanish","fail","FAIL_HTTP","190","404","www.telemundo.com","de6d5ae37b250bc8","2026-09-11T02:36:52.462Z"
"Viaplay","SE","World Cup 2026","Swedish","fail","FAIL_HTTP","1304","403","www.viaplay.se","20ce3316b93c1a50","2026-09-11T02:36:43.129Z"
"Virgin Media Sport","IE","Public Sports","English","fail","FAIL_HTTP","400","500","www.virginmediatelevision.ie","7d3f7d725fa139b0","2026-09-11T02:37:11.601Z"
