name,country,category,language,status,code,latencyMs,httpStatus,urlHost,urlHash,checkedAt
"MLB","US","Public Sports","English","ok","OK","138","200","www.mlb.com","d2b0971dda979c25","2026-06-24T10:45:01.344Z"
"Movistar Plus Deportes","ES","Public Sports","Spanish","ok","OK","2231","200","www.movistarplus.es","c7187f4671a0880c","2026-06-24T10:45:13.352Z"
"MTV Urheilu","FI","Public Sports","Finnish","ok","OK","1476","200","www.mtvuutiset.fi","47dd8c664b3cb5d9","2026-06-24T10:45:32.752Z"
"NBA","US","Public Sports","English","ok","OK","673","200","www.nba.com","e78466be5cd0d44f","2026-06-24T10:45:01.345Z"
"NBC Sports","US","Public Sports","English","ok","OK","357","200","www.nbcsports.com","0a34bde83134c7e6","2026-06-24T10:44:54.348Z"
"NCAA","US","Public Sports","English","ok","OK","343","200","www.ncaa.com","06ab4aec292005ff","2026-06-24T10:45:01.347Z"
"NFL","US","Public Sports","English","ok","OK","235","200","www.nfl.com","78e56cef78a49a57","2026-06-24T10:45:01.346Z"
"NHK Sports","JP","Public Sports","Japanese","ok","OK","1983","200","www3.nhk.or.jp","30281d880d228ec1","2026-06-24T10:45:20.579Z"
"NHL","US","Public Sports","English","ok","OK","260","200","www.nhl.com","c80cd1c30ee43ca8","2026-06-24T10:45:01.346Z"
"NOS Sport","NL","Public Sports","Dutch","ok","OK","695","200","nos.nl","76e60b33f8bc9d02","2026-06-24T10:45:15.587Z"
"Now Sports","HK","Public Sports","Chinese","ok","OK","984","200","sports.now.com","cf60833bb573ecb7","2026-06-24T10:45:35.892Z"
"NRK Sport","NO","Public Sports","Norwegian","ok","OK","596","200","www.nrk.no","164cb2e4919f9875","2026-06-24T10:45:32.749Z"
"NTV Spor","TR","Public Sports","Turkish","ok","OK","269","200","www.ntvspor.net","333a3f8336b569f3","2026-06-24T10:45:34.279Z"
"Ole","AR","Public Sports","Spanish","ok","OK","881","200","www.ole.com.ar","3030470586783cf4","2026-06-24T10:45:24.738Z"
"One Sports","PH","Public Sports","English","ok","OK","891","200","www.onesports.ph","f094fc7d43e90a03","2026-06-24T10:45:38.690Z"
"ORF Sport","AT","Public Sports","German","ok","OK","1637","200","sport.orf.at","f36c157a0cdd8b64","2026-06-24T10:45:16.951Z"
"Peacock","US","World Cup 2026","Spanish","ok","OK","367","200","www.peacocktv.com","336809d61421dabb","2026-06-24T10:44:53.662Z"
"PGA Tour","US","Public Sports","English","ok","OK","228","200","www.pgatour.com","4b01fecb7ec72c69","2026-06-24T10:45:01.347Z"
"Polsat Sport","PL","Public Sports","Polish","ok","OK","1151","200","www.polsatsport.pl","1c158b41c5cca4f4","2026-06-24T10:45:32.753Z"
"Rai Sport","IT","Public Sports","Italian","ok","OK","2140","200","www.raisport.rai.it","a1cf79d25e411632","2026-06-24T10:45:13.353Z"
"ran","DE","Public Sports","German","ok","OK","1742","200","www.ran.de","c491fadca6aaa3e9","2026-06-24T10:45:11.064Z"
"RCN Deportes","CO","Public Sports","Spanish","ok","OK","360","200","www.noticiasrcn.com","67045345857466eb","2026-06-24T10:45:31.738Z"
"RDS","CA","Public Sports","French","ok","OK","288","200","www.rds.ca","959b4eaee74a4966","2026-06-24T10:45:03.195Z"
"Record","PT","Public Sports","Portuguese","ok","OK","1094","200","www.record.pt","1e974e3972ecbdaa","2026-06-24T10:45:15.585Z"
"Red Bull TV","GLOBAL","Public Sports","English","ok","OK","1229","200","www.redbull.com","46b113766e41c056","2026-06-24T10:44:54.344Z"
"RMC Sport","FR","Public Sports","French","ok","OK","641","200","rmcsport.bfmtv.com","8f2c352f8039182b","2026-06-24T10:45:10.202Z"
"RTBF Sport","BE","Public Sports","French","ok","OK","1803","200","www.rtbf.be","6b39a6a0c4384fc3","2026-06-24T10:45:16.949Z"
"RTE Sport","IE","Public Sports","English","ok","OK","135","200","www.rte.ie","e15a5e9842a66e93","2026-06-24T10:45:10.200Z"
"RTP Desporto","PT","Public Sports","Portuguese","ok","OK","772","200","www.rtp.pt","6b88463ee6bc4aa7","2026-06-24T10:45:15.583Z"
